Time [s],Channel 2
10.494800875,0
10.494902792,1
10.495000917,0
10.495102833,1
10.495200958,0
10.495302875,1
10.495401000,0
10.495502917,1
10.495601042,0
10.495702917,1
10.495801042,0
10.495903000,1
10.496001083,0
10.496103000,1
10.496201125,0
10.496303042,1
10.496401208,0
10.496503250,1
10.496601208,0
10.496703083,1
10.496801250,0
10.496903167,1
10.497001292,0
10.497103208,1
10.497201292,0
10.497303208,1
10.497401375,0
10.497503250,1
10.497601375,0
10.497703292,1
10.497801417,0
10.497903333,1
10.498001458,0
10.498103375,1
10.498201500,0
10.498303333,1
10.498401542,0
10.498503417,1
10.498601542,0
10.498703375,1
10.498801625,0
10.498903500,1
10.499001625,0
10.499103542,1
10.499201667,0
10.499303542,1
10.499401708,0
10.499503625,1
10.499601708,0
10.499703667,1
10.499801750,0
10.499903667,1
10.500001833,0
10.500103708,1
10.500201833,0
10.500303792,1
10.500303833,0
10.500303875,1
10.500401875,0
10.500503750,1
10.500601917,0
10.500703833,1
10.500801958,0
10.500903833,1
10.501002000,0
10.501103833,1
10.501202000,0
10.501303958,1
10.501402083,0
10.501503875,1
10.501602083,0
10.501703958,1
10.501802125,0
10.501904042,1
10.502002167,0
10.502104083,1
10.502202167,0
10.502304083,1
10.502402250,0
10.502504125,1
10.502602250,0
10.502704167,1
10.502802292,0
10.502904208,1
10.503002333,0
10.503104208,1
10.503202375,0
10.503304250,1
10.503402417,0
10.503504333,1
10.503602458,0
10.503704333,1
10.503802458,0
10.503904333,1
10.504002500,0
10.504104375,1
10.504202542,0
10.504304458,1
10.504402583,0
10.504504542,1
10.504602625,0
10.504704500,1
10.504802667,0
10.504904500,1
10.505002667,0
10.505104583,1
10.505202708,0
10.505304625,1
10.505402792,0
10.505504958,1
10.505602792,0
10.505704667,1
10.505802833,0
10.505904667,1
10.506002833,0
10.506104792,1
10.506202875,0
10.506304833,1
10.506402958,0
10.506505000,1
10.506602958,0
10.506704917,1
10.506803000,0
10.506904875,1
10.507003042,0
10.507104917,1
10.507203083,0
10.507304958,1
10.507403125,0
10.507505000,1
10.507603125,0
10.507705083,1
10.507803167,0
10.507905083,1
10.508003208,0
10.508105125,1
10.508203250,0
10.508306417,1
10.508403958,0
10.508505917,1
10.508604042,0
10.508704208,1
10.508811167,0
10.508912375,1
10.509010542,0
10.509112958,1
10.509210458,0
10.509312417,1
10.509411042,0
10.509515000,1
10.509601458,0
10.509703375,1
10.509801542,0
10.509903375,1
10.510001583,0
10.510103458,1
10.510201625,0
10.510303542,1
10.510401667,0
10.510503542,1
10.510601667,0
10.510703542,1
10.510801708,0
10.510903625,1
10.511001750,0
10.511103667,1
10.511201792,0
10.511303708,1
10.511401833,0
10.511503708,1
10.511601875,0
10.511703750,1
10.511801917,0
10.511903792,1
10.512001917,0
10.512103792,1
10.512202000,0
10.512303875,1
10.512402042,0
10.512503958,1
10.512602042,0
10.512713292,1
10.512800958,0
10.512902667,1
10.513000792,0
10.513104958,1
10.513201083,0
10.513303083,1
10.513401208,0
10.513504875,1
10.513602750,0
10.513704667,1
10.513802833,0
10.513903833,1
10.514002000,0
10.514103958,1
10.514202042,0
10.514303958,1
10.514304000,0
10.514304292,1
10.514402083,0
10.514503917,1
10.514602125,0
10.514704000,1
10.514802167,0
10.514903958,1
10.515002167,0
10.515104042,1
10.515202250,0
10.515304167,1
10.515402250,0
10.515504125,1
10.515602292,0
10.515704208,1
10.515802333,0
10.515904208,1
10.516002375,0
10.516104292,1
10.516202375,0
10.516304333,1
10.516304458,0
10.516304625,1
10.516402417,0
10.516504292,1
10.516602458,0
10.516704417,1
10.516802500,0
10.516904375,1
10.517002542,0
10.517104458,1
10.517202583,0
10.517304500,1
10.517402583,0
10.517504500,1
10.517602625,0
10.517704500,1
10.517802708,0
10.517904583,1
10.518002708,0
10.518104583,1
10.518202750,0
10.518304625,1
10.518402792,0
10.518504708,1
10.518602792,0
10.518704750,1
10.518802833,0
10.518904750,1
10.519002917,0
10.519104792,1
10.519202917,0
10.519304833,1
10.519402958,0
10.519504833,1
10.519603000,0
10.519704917,1
10.519803042,0
10.519904917,1
10.520003083,0
10.520104958,1
10.520203083,0
10.520305000,1
10.520403125,0
10.520505042,1
10.520603167,0
10.520705042,1
10.520803208,0
10.520905083,1
10.521003250,0
10.521105167,1
10.521203250,0
10.521305167,1
10.521403292,0
10.521505167,1
10.521603333,0
10.521705250,1
10.521803375,0
10.521905292,1
10.522003417,0
10.522105333,1
10.522203458,0
10.522305375,1
10.522403500,0
10.522505375,1
10.522603500,0
10.522705417,1
10.522803542,0
10.522905417,1
10.523003583,0
10.523105500,1
10.523203625,0
10.523305583,1
10.523403667,0
10.523505583,1
10.523603708,0
10.523705625,1
10.523803750,0
10.523905625,1
10.524003792,0
10.524105667,1
10.524203792,0
10.524305708,1
10.524403833,0
10.524505750,1
10.524603875,0
10.524705792,1
10.524803917,0
10.524905708,1
10.525003958,0
10.525105875,1
10.525203958,0
10.525305875,1
10.525404000,0
10.525505875,1
10.525604083,0
10.525705958,1
10.525804083,0
10.525905958,1
10.526004125,0
10.526106042,1
10.526204167,0
10.526306042,1
10.526404167,0
10.526506125,1
10.526604208,0
10.526706167,1
10.526804250,0
10.526906167,1
10.527004292,0
10.527106208,1
10.527204333,0
10.527306250,1
10.527404375,0
10.527506250,1
10.527604417,0
10.527706250,1
10.527804458,0
10.527906333,1
10.528004458,0
10.528106375,1
10.528204500,0
10.528306417,1
10.528404542,0
10.528506458,1
10.528604583,0
10.528706458,1
10.528804625,0
10.528906583,1
10.529004625,0
10.529107750,1
10.529205292,0
10.529307292,1
10.529405417,0
10.529507125,1
10.529605875,0
10.529707292,1
10.529805458,0
10.529908375,1
10.530016083,0
10.530117000,1
10.530215208,0
10.530317542,1
10.530415125,0
10.530517042,1
10.530615208,0
10.530718667,1
10.530810708,0
10.530912708,1
10.531010792,0
10.531112625,1
10.531212417,0
10.531307917,1
10.531406208,0
10.531507958,1
10.531508000,0
10.531508042,1
10.531606250,0
10.531708125,1
10.531806250,0
10.531908208,1
10.532005958,0
10.532108125,1
10.532206333,0
10.532308250,1
10.532406375,0
10.532508167,1
10.532508375,0
10.532508417,1
10.532606625,0
10.532708292,1
10.532806417,0
10.532908292,1
10.533006458,0
10.533108375,1
10.533206500,0
10.533308375,1
10.533406542,0
10.533508458,1
10.533606542,0
10.533708458,1
10.533806583,0
10.533918292,1
10.534005583,0
10.534107333,1
10.534205458,0
10.534309167,1
10.534405667,0
10.534507625,1
10.534605792,0
10.534726750,1
10.534839042,0
10.534940958,1
10.535039083,0
10.535139875,1
10.535244417,0
10.535342625,1
10.535439792,0
10.535548667,1
10.535641250,0
10.535749458,1
10.535842833,0
10.535944667,1
10.536042792,0
10.536143292,1
10.536246125,0
10.536348917,1
10.536443375,0
10.536545250,1
10.536641667,0
10.536749667,1
10.536843250,0
10.536945167,1
10.537041875,0
10.537149000,1
10.537248042,0
10.537345250,1
10.537443458,0
10.537545250,1
10.537641875,0
10.537750000,1
10.537841708,0
10.537949833,1
10.538043250,0
10.538143792,1
10.538247958,0
10.538327792,1
10.538426000,0
10.538532167,1
10.538624625,0
10.538710375,1
10.538807958,0
10.538909875,1
10.539008000,0
10.539109792,1
10.539208000,0
10.539309917,1
10.539408042,0
10.539509917,1
10.539608083,0
10.539709875,1
10.539808083,0
10.539910000,1
10.540008125,0
10.540110042,1
10.540208167,0
10.540310083,1
10.540408208,0
10.540510167,1
10.540608250,0
10.540710167,1
10.540808250,0
10.540910167,1
10.541008292,0
10.541110208,1
10.541208333,0
10.541310250,1
10.541408417,0
10.541510292,1
10.541608417,0
10.541710333,1
10.541808458,0
10.541910375,1
10.542008500,0
10.542110375,1
10.542208500,0
10.542310333,1
10.542408583,0
10.542510458,1
10.542608583,0
10.542710500,1
10.542808625,0
10.542910667,1
10.543008667,0
10.543112125,1
10.543210167,0
10.543312083,1
10.543410250,0
10.543511292,1
10.543609458,0
10.543711417,1
10.543809500,0
10.543911417,1
10.544009542,0
10.544111458,1
10.544209583,0
10.544311500,1
10.544409625,0
10.544511417,1
10.544609625,0
10.544711542,1
10.544809667,0
10.544911542,1
10.545009708,0
10.545111667,1
10.545209750,0
10.545311667,1
10.545409792,0
10.545511708,1
10.545609833,0
10.545711708,1
10.545809833,0
10.545911792,1
10.546009875,0
10.546111792,1
10.546209917,0
10.546311875,1
10.546410000,0
10.546511875,1
10.546610000,0
10.546711875,1
10.546810042,0
10.546911958,1
10.547010083,0
10.547111958,1
10.547210083,0
10.547312000,1
10.547410167,0
10.547511917,1
10.547610167,0
10.547712083,1
10.547810208,0
10.547912083,1
10.548010250,0
10.548112167,1
10.548210292,0
10.548312125,1
10.548410333,0
10.548512208,1
10.548610333,0
10.548712208,1
10.548810375,0
10.548912208,1
10.549010458,0
10.549112333,1
10.549210458,0
10.549312375,1
10.549410500,0
10.549512417,1
10.549610542,0
10.549712458,1
10.549810542,0
10.549912542,1
10.550010583,0
10.550112542,1
10.550210625,0
10.550312542,1
10.550410667,0
10.550512583,1
10.550610708,0
10.550712625,1
10.550810750,0
10.550912625,1
10.551010792,0
10.551112667,1
10.551210792,0
10.551312708,1
10.551410875,0
10.551512708,1
10.551610875,0
10.551712833,1
10.551810917,0
10.551912792,1
10.552010958,0
10.552112875,1
10.552210958,0
10.552312917,1
10.552411042,0
10.552512917,1
10.552611042,0
10.552712917,1
10.552811083,0
10.552913042,1
10.553011125,0
10.553113000,1
10.553211167,0
10.553313042,1
10.553411208,0
10.553513333,1
10.553611250,0
10.553713125,1
10.553811250,0
10.553913167,1
10.554011417,0
10.554113208,1
10.554211333,0
10.554313500,1
10.554411375,0
10.554513208,1
10.554611417,0
10.554713292,1
10.554811417,0
10.554913375,1
10.555011458,0
10.555113375,1
10.555211542,0
10.555313375,1
10.555411583,0
10.555513458,1
10.555611583,0
10.555713500,1
10.555811625,0
10.555913542,1
10.556011667,0
10.556113583,1
10.556211708,0
10.556313875,1
10.556411750,0
10.556513500,1
10.556611792,0
10.556713667,1
10.556811792,0
10.556913708,1
10.557011833,0
10.557113750,1
10.557211875,0
10.557313750,1
10.557411917,0
10.557513792,1
10.557611917,0
10.557713833,1
10.557811958,0
10.557913875,1
10.558012000,0
10.558113958,1
10.558212042,0
10.558315125,1
10.558412750,0
10.558514750,1
10.558612833,0
10.558712958,1
10.558820000,0
10.558921125,1
10.559019375,0
10.559121708,1
10.559219250,0
10.559321667,1
10.559420750,0
10.559516500,1
10.559616292,0
10.559712167,1
10.559810333,0
10.559912250,1
10.560010417,0
10.560112250,1
10.560210417,0
10.560312333,1
10.560410458,0
10.560512375,1
10.560610458,0
10.560712375,1
10.560810542,0
10.560912417,1
10.561010583,0
10.561112458,1
10.561210625,0
10.561312500,1
10.561410625,0
10.561512500,1
10.561610667,0
10.561712583,1
10.561810708,0
10.561912625,1
10.562010708,0
10.562112625,1
10.562210750,0
10.562312667,1
10.562410833,0
10.562512708,1
10.562610833,0
10.562722125,1
10.562809792,0
10.562911458,1
10.563009625,0
10.563113792,1
10.563209875,0
10.563311875,1
10.563410000,0
10.563513458,1
10.563611542,0
10.563713375,1
10.563811583,0
10.563912625,1
10.564010792,0
10.564112708,1
10.564210875,0
10.564312708,1
10.564410875,0
10.564512750,1
10.564610917,0
10.564713000,1
10.564810958,0
