Time [s],Channel 0,Channel 1,Channel 2,Channel 3
8.851611042,0,1,0,0
8.879725917,1,1,0,0
8.880417250,1,1,1,0
8.900925292,0,1,1,0
8.901619875,0,1,0,0
8.929726000,1,1,0,0
8.930425875,1,1,1,0
8.950925375,0,1,1,0
8.951628750,0,1,0,0
8.979726125,1,1,0,0
8.980434750,1,1,1,0
9.000925458,0,1,1,0
9.001537750,0,1,0,0
9.029726208,1,1,0,0
9.030343708,1,1,1,0
9.050925542,0,1,1,0
9.051547500,0,1,0,0
9.079726292,1,1,0,0
9.080352833,1,1,1,0
9.100925625,0,1,1,0
9.101555500,0,1,0,0
9.129726375,1,1,0,0
9.130361500,1,1,1,0
9.150925708,0,1,1,0
9.151564333,0,1,0,0
9.179726458,1,1,0,0
9.180370375,1,1,1,0
9.200925792,0,1,1,0
9.201562500,0,0,1,0
9.201573208,0,0,0,0
9.229728125,1,0,0,0
9.230380208,1,0,1,0
9.250925875,0,0,1,0
9.251679583,0,1,1,0
9.251681958,0,1,0,0
9.279726625,1,1,0,0
9.280381875,1,0,0,0
9.280388042,1,0,1,0
9.300925542,0,0,1,0
9.301585958,0,1,1,0
9.301590958,0,1,0,0
9.329726708,1,1,0,0
9.330388125,1,0,0,0
9.330397125,1,0,1,0
9.350926083,0,0,1,0
9.351492000,0,1,1,0
9.351500500,0,1,0,0
9.379726792,1,1,0,0
9.380394375,1,0,0,0
9.380405833,1,0,1,0
9.400926167,0,0,1,0
9.401498250,0,1,1,0
9.401508500,0,1,0,0
9.429730708,1,1,0,0
9.430300417,1,0,0,0
9.430314458,1,0,1,0
9.450926250,0,0,1,0
9.451504500,0,1,1,0
9.451517375,0,1,0,0
9.451580208,0,1,0,1
9.479726958,1,1,0,1
9.480306667,1,0,0,1
9.480323333,1,0,1,1
9.500926333,0,0,1,1
9.501598708,0,0,1,0
9.501610667,0,1,1,0
9.501626417,0,1,0,0
9.529727042,1,1,0,0
9.530307000,1,1,0,1
9.530312917,1,0,0,1
9.530332208,1,0,1,1
9.550926458,0,0,1,1
9.551612167,0,0,1,0
9.551617250,0,1,1,0
9.551635250,0,1,0,0
9.579727125,1,1,0,0
9.580419333,1,0,0,0
9.580420750,1,0,0,1
9.580441250,1,0,1,1
9.600926500,0,0,1,1
9.601523208,0,1,1,1
9.601525458,0,1,1,0
9.601543958,0,1,0,0
9.629727167,1,1,0,0
9.630425542,1,0,0,0
9.630434083,1,0,0,1
9.630450083,1,0,1,1
9.650926583,0,0,1,1
9.651529417,0,1,1,1
9.651538917,0,1,1,0
9.651552833,0,1,0,0
9.679727333,1,1,0,0
9.680331625,1,0,0,0
9.680347542,1,0,0,1
9.680358833,1,0,1,1
9.700926667,0,0,1,1
9.701552917,0,0,1,0
9.701561708,0,0,0,0
9.701635833,0,1,0,0
9.729727375,1,1,0,0
9.730360917,1,1,0,1
9.730367625,1,1,1,1
9.730438042,1,0,1,1
9.750926750,0,0,1,1
9.751542167,0,1,1,1
9.751566375,0,1,1,0
9.751570542,0,1,0,0
9.779727500,1,1,0,0
9.780374292,1,1,0,1
9.780376417,1,1,1,1
9.780444292,1,0,1,1
9.800926833,0,0,1,1
9.801479542,0,0,0,1
9.801480167,0,0,0,0
9.801548167,0,1,0,0
9.829728875,1,1,0,0
9.830450500,1,0,0,0
9.830485583,1,0,1,0
9.830487625,1,0,1,1
9.850926917,0,0,1,1
9.851588292,0,0,0,1
9.851592750,0,0,0,0
9.851654542,0,1,0,0
9.879727625,1,1,0,0
9.880294667,1,1,1,0
9.880301375,1,1,1,1
9.880356583,1,0,1,1
9.900927000,0,0,1,1
9.901561875,0,1,1,1
9.901597167,0,1,0,1
9.901606208,0,1,0,0
9.929727708,1,1,0,0
9.930303167,1,1,1,0
9.930314667,1,1,1,1
9.930362833,1,0,1,1
9.950928417,0,0,1,1
9.951606000,0,0,0,1
9.951619667,0,0,0,0
9.951667042,0,1,0,0
9.979727833,1,1,0,0
9.980312333,1,1,1,0
9.980328292,1,1,1,1
9.980369083,1,0,1,1
10.000927167,0,0,1,1
10.001473375,0,1,1,1
10.001515000,0,1,0,1
10.001533292,0,1,0,0
10.029727917,1,1,0,0
10.030321667,1,1,1,0
10.030341750,1,1,1,1
10.030375333,1,0,1,1
10.050927250,0,0,1,1
10.051579375,0,1,1,1
10.051623750,0,1,0,1
10.051646583,0,1,0,0
10.079728000,1,1,0,0
10.080329875,1,1,1,0
10.080355208,1,1,1,1
10.080381542,1,0,1,1
10.100927333,0,0,1,1
10.101585875,0,1,1,1
10.101632625,0,1,0,1
10.101660083,0,1,0,0
10.129728083,1,1,0,0
10.130338750,1,1,1,0
10.130368708,1,1,1,1
10.130387792,1,0,1,1
10.150928750,0,0,1,1
10.151641458,0,0,0,1
10.151673500,0,0,0,0
10.151692042,0,1,0,0
10.179728208,1,1,0,0
10.180382708,1,1,0,1
10.180394042,1,0,0,1
10.180447417,1,0,1,1
10.200927500,0,0,1,1
10.201486917,0,0,1,0
10.201498208,0,1,1,0
10.201550458,0,1,0,0
10.229728292,1,1,0,0
10.230356500,1,1,1,0
10.230395583,1,1,1,1
10.230395708,1,1,1,0
10.230395792,1,1,1,1
10.230400250,1,0,1,1
10.250928917,0,0,1,1
10.251600542,0,0,1,0
10.251604333,0,1,1,0
10.251659208,0,1,0,0
10.279728333,1,1,0,0
10.280366208,1,1,1,0
10.280406500,1,0,1,0
10.280409042,1,0,1,1
10.300927667,0,0,1,1
10.301510667,0,1,1,1
10.301514417,0,1,1,0
10.301568208,0,1,0,0
10.329728417,1,1,0,0
10.330375500,1,1,1,0
10.330412750,1,0,1,0
10.330422500,1,0,1,1
10.350927792,0,0,1,1
10.351516708,0,1,1,1
10.351527292,0,1,1,0
10.351577958,0,1,0,0
10.379728500,1,1,0,0
10.380419000,1,0,0,0
10.380436000,1,0,0,1
10.380482875,1,0,1,1
10.400927875,0,0,1,1
10.401523375,0,1,1,1
10.401540792,0,1,1,0
10.401585917,0,1,0,0
10.429728625,1,1,0,0
10.430391958,1,1,1,0
10.430425208,1,0,1,0
10.430449417,1,0,1,1
10.450927958,0,0,1,1
10.451554458,0,0,1,0
10.451594792,0,0,0,0
10.451629417,0,1,0,0
10.479728667,1,1,0,0
10.480331583,1,0,0,0
10.480362708,1,0,0,1
10.500928042,0,0,0,1
10.501605250,0,0,1,1
10.501635500,0,1,1,1
10.501667875,0,1,1,0
10.529728750,1,1,1,0
10.530337833,1,0,1,0
10.530376125,1,0,1,1
10.550928125,0,0,1,1
10.551581125,0,0,1,0
10.551612542,0,0,0,0
10.551641750,0,1,0,0
10.579728833,1,1,0,0
10.580389583,1,1,0,1
10.580418417,1,1,1,1
10.580443958,1,0,1,1
10.600928208,0,0,1,1
10.601494750,0,0,1,0
10.601548125,0,1,1,0
10.629728958,1,1,1,0
10.630303208,1,1,1,1
10.630350292,1,0,1,1
10.650928292,0,0,1,1
10.651608083,0,0,1,0
10.651630250,0,0,0,0
10.651654208,0,1,0,0
10.679729042,1,1,0,0
10.680319167,1,1,0,1
10.680356542,1,0,0,1
10.700928375,0,0,0,1
10.701522208,0,0,0,0
10.701560417,0,1,0,0
10.729729083,1,1,0,0
10.730430042,1,1,0,1
10.730445083,1,1,1,1
10.730462625,1,0,1,1
10.750928458,0,0,1,1
10.751635000,0,0,1,0
10.751648000,0,0,0,0
10.751666792,0,1,0,0
10.779729208,1,1,0,0
10.780371125,1,0,0,0
10.780443458,1,0,0,1
10.780453958,1,0,1,1
10.800928542,0,0,1,1
10.801548583,0,0,1,0
10.801573125,0,1,1,0
10.829733083,1,1,1,0
10.830357125,1,1,1,1
10.830375250,1,0,1,1
10.850928625,0,0,1,1
10.851562042,0,0,1,0
10.851579333,0,1,1,0
10.879729333,1,1,1,0
10.880370542,1,1,1,1
10.880381500,1,0,1,1
10.900928708,0,0,1,1
10.901575500,0,0,1,0
10.901585542,0,1,1,0
10.929729417,1,1,1,0
10.930384000,1,1,1,1
10.930387750,1,0,1,1
10.950928792,0,0,1,1
10.951588958,0,0,1,0
10.951591792,0,1,1,0
10.979729417,1,1,1,0
10.980394000,1,0,1,0
10.980397292,1,0,1,1
11.000928875,0,0,1,1
11.001598042,0,1,1,1
11.029729625,1,1,1,1
11.030400208,1,0,1,1
11.030409333,1,0,1,0
11.050928958,0,0,1,0
11.051604458,0,1,1,0
11.051617500,0,1,1,1
11.079729708,1,1,1,1
11.080406458,1,0,1,1
11.080422792,1,0,1,0
